bucket,brand_name,brand_slug,corpus_count,official_count,gap_count,coverage_ratio,coverage_class,scrape_priority,domain_status,official_url,scraper_tier,priority_notes
niche,L'Artisan Parfumeur,l-artisan-parfumeur,124,0,124,0.00,shallow,high,,https://www.artisanparfumeur.com/us/en_US/,,
niche,Henry Jacques,henry-jacques,108,0,108,0.00,shallow,high,,https://www.henryjacques.com/,,
niche,Ormonde Jayne,ormonde-jayne,69,0,69,0.00,shallow,high,,https://ormondejayne.com/en-us,,
niche,Memo Paris,memo-paris,66,0,66,0.00,shallow,high,,https://www.memoparis.com/,,
niche,Le Labo,le-labo,60,0,60,0.00,shallow,high,,https://www.lelabofragrances.com/,,
niche,Maison Francis Kurkdjian,maison-francis-kurkdjian,57,0,57,0.00,shallow,high,,https://www.maisonfranciskurkdjian.com/,,
niche,Atelier Cologne,atelier-cologne,55,0,55,0.00,shallow,high,,https://www.ateliercologne.com/,,
niche,Bortnikoff,bortnikoff,50,0,50,0.00,shallow,high,,https://bortnikoff.com/,,
niche,Frederic Malle,frederic-malle,49,0,49,0.00,shallow,high,,https://www.fredericmalle.com/,,
niche,Nishane,nishane,49,0,49,0.00,shallow,high,,https://www.nishane.com/,,
niche,Fragrance du Bois,fragrance-du-bois,48,0,48,0.00,shallow,high,,https://www.fragrancedubois.com/,,
niche,Houbigant,houbigant,43,0,43,0.00,shallow,high,,https://www.houbigant-parfum.com/,,
niche,Zoologist Perfumes,zoologist-perfumes,42,0,42,0.00,shallow,high,,https://www.zoologistperfumes.com/,,
niche,The House of Oud,the-house-of-oud,39,0,39,0.00,shallow,high,,https://www.thehouseofoud.com/,,
niche,Be Layered,be-layered,38,0,38,0.00,shallow,high,,https://belayered.com/,,
niche,Tauer Perfumes,tauer-perfumes,38,0,38,0.00,shallow,high,,https://www.tauerperfumes.com/,,
niche,Carner Barcelona,carner-barcelona,33,0,33,0.00,shallow,high,,https://www.carnerbarcelona.com/,,
niche,Juliette Has a Gun,juliette-has-a-gun,33,0,33,0.00,shallow,high,,https://www.juliettehasagun.com/en/,,
niche,Vilhelm Parfumerie,vilhelm-parfumerie,32,0,32,0.00,shallow,high,,https://www.vilhelmparfumerie.com/,,
niche,Imaginary Authors,imaginary-authors,31,0,31,0.00,shallow,high,,https://imaginaryauthors.com/,,
niche,Kerosene,kerosene,24,0,24,0.00,shallow,high,,https://kerosenelabs.com/,,
niche,Initio Parfums Prives,initio-parfums-prives,19,0,19,0.00,shallow,high,,https://www.initio-parfums.com/,,
niche,Maison Crivelli,maison-crivelli,18,0,18,0.00,shallow,high,,https://maisoncrivelli.com/en-us/,,
niche,Aedes de Venustas,aedes-de-venustas,14,0,14,0.00,shallow,high,,https://aedesdevenustas.com/,,
niche,Akro,akro,13,0,13,0.00,shallow,high,,https://akrofragrances.com/,,
niche,Essential Parfums,essential-parfums,10,0,10,0.00,shallow,high,,https://www.essentialparfums.com/en/,,
niche,Orto Parisi,orto-parisi,8,0,8,0.00,shallow,high,,https://ortoparisi.com/,,
niche,Montale,montale,175,2,173,0.01,shallow,high,,https://www.montaleparfums.com/,,
niche,Serge Lutens,serge-lutens,101,2,99,0.02,shallow,high,,https://sergelutens.com/en/,,
niche,By Kilian,by-kilian,98,2,96,0.02,shallow,high,,https://www.bykilian.com/,,
niche,Xerjoff,xerjoff,205,5,200,0.02,shallow,high,fetchable,https://www.xerjoff.com/en-us,pilot,Smaller but high-quality niche text.
niche,Amouage,amouage,141,7,134,0.05,shallow,high,,https://www.amouage.com/,,
niche,Creed,creed,97,7,90,0.07,shallow,high,,https://www.creedboutique.com/,,
niche,Etat Libre d'Orange,etat-libre-d-orange,62,5,57,0.08,shallow,high,,https://etatlibredorange.com/,,
niche,Parfums de Marly,parfums-de-marly,59,5,54,0.08,shallow,high,,https://www.parfums-de-marly.com/,,
niche,Mancera,mancera,89,7,82,0.08,shallow,high,,https://manceraparfums.com/,,
niche,Diptyque,diptyque,84,7,77,0.08,shallow,high,,https://www.diptyqueparis.com/,,
niche,27 87,27-87,0,0,0,0.00,deep,low,,https://www.27-87.com/,,
niche,Commodity Fragrances,commodity-fragrances,0,0,0,0.00,deep,low,,https://commodityfragrances.com/,,
niche,D.S. & Durga,ds-and-durga,0,0,0,0.00,deep,low,,https://dsanddurga.com/,,
niche,Heeley,heeley,0,0,0,0.00,deep,low,,https://www.heeley.com/,,
niche,Jusbox Perfumes,jusbox-perfumes,0,0,0,0.00,deep,low,,https://jusboxperfumes.com/,,
niche,Maison Tahité,maison-tahite,0,0,0,0.00,deep,low,,https://www.maison-tahite.com/,,
niche,Marissa Zappas,marissa-zappas,0,0,0,0.00,deep,low,,https://marissazappas.com/,,
niche,Parfums MDCI,parfums-mdci,0,0,0,0.00,deep,low,,https://parfumsmdci.com/,,
niche,Parle Moi de Parfum,parle-moi-de-parfum,0,0,0,0.00,deep,low,,https://parlemoideparfum.com/,,
niche,Penhaligon's,penhaligons,0,0,0,0.00,deep,low,,https://www.penhaligons.com/uk/en,,
niche,Puredistance,puredistance,0,0,0,0.00,deep,low,,https://www.puredistance.com/,,
niche,Room 1015,room-1015,0,0,0,0.00,deep,low,,https://room1015.com/,,
niche,Spirit of Dubai,spirit-of-dubai,0,0,0,0.00,deep,low,,https://www.spiritofdubai.com/,,
