brand_name,product_name,collection,official_url,release_signal,source_status,price_text,match_hint
27 87,Wandervogel 27 87 perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/27-87/Wandervogel-37891.html,fragrantica latest,ok,,
27 87,#Hashtag 27 87 perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/27-87/Hashtag-37889.html,fragrantica latest,blocked,,
Commodity Fragrances,Book Commodity perfume - a fragrance for women and men,,https://www.fragrantica.com/perfume/Commodity/Book-50618.html,fragrantica latest,ok,,
Commodity Fragrances,Magnolia Commodity perfume - a fragrance for women and men 2013,,https://www.fragrantica.com/perfume/Commodity/Magnolia-29547.html,fragrantica latest,ok,,
D.S. & Durga,King Majesty Bergamot Chypre DS&Durga perfume - a new fragrance for women and men 2024,,https://www.fragrantica.com/perfume/DS-Durga/King-Majesty-Bergamot-Chypre-100809.html,fragrantica latest,ok,,
D.S. & Durga,Gateau Blackout DS&Durga perfume - a fragrance for women and men 2024,,https://www.fragrantica.com/perfume/DS-Durga/Gateau-Blackout-92267.html,fragrantica latest,ok,,
Heeley,Venture Unlimited Oriflame cologne - a fragrance for men 2023,,https://www.fragrantica.com/perfume/Oriflame/Venture-Unlimited-94999.html,fragrantica latest,ok,,
Heeley,Classique Perdu Comme des Garcons perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/Comme-des-Garcons/Classique-Perdu-116397.html,fragrantica latest,ok,,
Jusbox Perfumes,Carioca Heart Jusbox perfume - a fragrance for women and men 2023,,https://www.fragrantica.com/perfume/Jusbox/Carioca-Heart-85950.html,fragrantica latest,ok,,
Jusbox Perfumes,Cheeky Smile Jusbox perfume - a fragrance for women and men 2018,,https://www.fragrantica.com/perfume/Jusbox/Cheeky-Smile-50932.html,fragrantica latest,ok,,
Maison Tahité,Vanille de Minuit Maison Tahité – Officine Creative Profumi perfume - a new fragrance for women and men 2024,,https://www.fragrantica.com/perfume/Maison-Tahite-Officine-Creative-Profumi/Vanille-de-Minuit-97549.html,fragrantica latest,ok,,
Maison Tahité,Mont de Narcisse L'Artisan Parfumeur perfume - a fragrance for women and men 2018,,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Mont-de-Narcisse-51203.html,fragrantica latest,ok,,
Marissa Zappas,Tragedy Oil Marissa Zappas perfume - a fragrance for women 2023,,https://www.fragrantica.com/perfume/Marissa-Zappas/Tragedy-Oil-88660.html,fragrantica latest,ok,,
Marissa Zappas,Mont de Narcisse L'Artisan Parfumeur perfume - a fragrance for women and men 2018,,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Mont-de-Narcisse-51203.html,fragrantica latest,ok,,
Parfums MDCI,La Belle Helene MDCI Parfums perfume - a fragrance for women 2011,,https://www.fragrantica.com/perfume/MDCI-Parfums/La-Belle-Helene-11860.html,fragrantica latest,ok,,
Parfums MDCI,Mont de Narcisse L'Artisan Parfumeur perfume - a fragrance for women and men 2018,,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Mont-de-Narcisse-51203.html,fragrantica latest,ok,,
Parle Moi de Parfum,Milky Musk 39 Parle Moi de Parfum perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/Parle-Moi-de-Parfum/Milky-Musk-39-42240.html,fragrantica latest,ok,,
Parle Moi de Parfum,Totally White 126 Parle Moi de Parfum perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/Parle-Moi-de-Parfum/Totally-White-126-42238.html,fragrantica latest,ok,,
Puredistance,Divanché Puredistance perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/Puredistance/Divanche-104935.html,fragrantica latest,ok,,
Puredistance,Warszawa No. 08 Puredistance perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/Puredistance/Warszawa-No-08-42602.html,fragrantica latest,ok,,
Room 1015,New Love-O-Matic,102 Love O Matic,https://room1015.com/100-ml/102-love-o-matic.html,new product,ok,€90,Room 1015 New Love-O-Matic
Room 1015,Rose Gold Ormonde Jayne perfume - a fragrance for women and men 2016,,https://www.fragrantica.com/perfume/Ormonde-Jayne/Rose-Gold-38334.html,fragrantica latest,ok,,
Room 1015,Mon Exclusif Guerlain perfume - a fragrance for women 2015,,https://www.fragrantica.com/perfume/Guerlain/Mon-Exclusif-30944.html,fragrantica latest,ok,,
Spirit of Dubai,Aamal Metallique The Spirit of Dubai perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/The-Spirit-of-Dubai/Aamal-Metallique-103740.html,fragrantica latest,ok,,
Spirit of Dubai,Raghba Wood Intense Lattafa Perfumes cologne - a fragrance for men 2014,,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Raghba-Wood-Intense-28713.html,fragrantica latest,ok,,
Orto Parisi,Mata Hari DSH Perfumes perfume - a fragrance for women 2010,,https://www.fragrantica.com/perfume/DSH-Perfumes/Mata-Hari-10954.html,fragrantica latest,ok,,
Orto Parisi,Acqua di Giò Elixir Giorgio Armani cologne - a new fragrance for men 2025,,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Elixir-101438.html,fragrantica latest,ok,,
Essential Parfums,Pure Black Mandarina Duck cologne - a fragrance for men 2009,,https://www.fragrantica.com/perfume/Mandarina-Duck/Pure-Black-5679.html,fragrantica latest,ok,,
Essential Parfums,L'Eau Kenzo Pour Homme Sunlight Edition Limitée Kenzo cologne - a fragrance for men 2023,,https://www.fragrantica.com/perfume/Kenzo/L-Eau-Kenzo-Pour-Homme-Sunlight-Edition-Limitee-80692.html,fragrantica latest,ok,,
Akro,Akro Gift Card,Gift Card,https://akrofragrances.com/products/akro-gift-card,new product,ok,USD 10.0,Akro Akro Gift Card
Akro,Smile,Akro Smile,https://akrofragrances.com/products/akro-smile,new product,ok,USD 160.0,Akro Smile
Akro,Crush Akro perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/Akro/Crush-105831.html,fragrantica latest,ok,,
Akro,Pleasures Sandalwood Amber Splash Estée Lauder perfume - a fragrance for women 2009,,https://www.fragrantica.com/perfume/Estee-Lauder/Pleasures-Sandalwood-Amber-Splash-5949.html,fragrantica latest,ok,,
Aedes de Venustas,16a Orchard - Eau de Parfum,16A Orchard Eau De Parfum,https://aedesdevenustas.com/products/16a-orchard-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas 16a Orchard - Eau de Parfum
Aedes de Venustas,Amnesia Rose - Eau de Parfum,Amnesia Rose,https://aedesdevenustas.com/products/amnesia-rose,new product,ok,USD 245.0,Aedes de Venustas Amnesia Rose - Eau de Parfum
Aedes de Venustas,Café Tabac - Eau de Parfum,Cafe Tabac Eau De Parfum,https://aedesdevenustas.com/products/cafe-tabac-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Café Tabac - Eau de Parfum
Aedes de Venustas,Cierge de Lune - Eau de Parfum,Cierge De Lune Eau De Parfum,https://aedesdevenustas.com/products/cierge-de-lune-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Cierge de Lune - Eau de Parfum
Aedes de Venustas,Copal Azur - Eau de Parfum,Copal Azur Eau De Parfum,https://aedesdevenustas.com/products/copal-azur-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Copal Azur - Eau de Parfum
